depth,SP,GR,LLD,LLS,DEN,AC,litholody
1173.1,35.516,94.483,3.182,2.603,2.213,112.994,shale
1173.2,36.277,93.422,3.351,2.71,2.192,112.081,shale
1173.3,37.234,92.465,3.505,2.808,2.175,112.155,shale
1173.4,38.369,91.878,3.63,2.89,2.162,113.131,sand
1173.5,39.609,91.751,3.73,2.957,2.151,115.298,sand
1173.6,40.863,92.013,3.819,3.018,2.142,118.59,sand
1173.7,42.058,92.412,3.914,3.084,2.135,122.033,sand
1173.8,43.164,92.657,4.028,3.161,2.129,124.426,sand
1173.9,44.187,92.741,4.164,3.252,2.125,125.503,sand
1174,45.146,92.763,4.314,3.354,2.123,125.867,sand
1174.1,46.041,92.774,4.46,3.457,2.122,126.165,sand
1174.2,46.847,92.78,4.585,3.547,2.119,126.516,sand
1174.3,47.527,92.659,4.686,3.622,2.115,126.74,sand
1174.4,48.057,92.209,4.773,3.685,2.109,126.814,sand
1174.5,48.449,91.471,4.855,3.746,2.104,126.777,sand
1174.6,48.742,90.792,4.935,3.806,2.102,126.773,sand
1174.7,48.991,90.635,5.002,3.862,2.105,127.012,sand
1174.8,49.238,91.241,5.034,3.898,2.113,127.528,sand
1174.9,49.509,92.53,5.007,3.897,2.126,128.098,sand
1175,49.791,94.036,4.911,3.849,2.141,128.388,sand
1175.1,50.047,95.296,4.751,3.752,2.153,128.158,sand
1175.2,50.231,96.156,4.553,3.622,2.16,127.374,sand
1175.3,50.318,96.581,4.347,3.483,2.161,126.211,sand
1175.4,50.323,96.564,4.161,3.355,2.157,124.978,sand
1175.5,50.307,96.075,4.011,3.252,2.151,124.036,sand
1175.6,50.348,94.996,3.902,3.176,2.147,123.667,sand
1175.7,50.513,93.359,3.833,3.124,2.146,123.86,sand
1175.8,50.815,91.477,3.797,3.093,2.148,124.37,sand
1175.9,51.207,89.704,3.788,3.078,2.152,124.87,sand
1176,51.596,88.189,3.803,3.076,2.155,125.116,sand
1176.1,51.903,86.868,3.841,3.086,2.155,125.009,sand
1176.2,52.104,85.656,3.906,3.111,2.149,124.619,sand
1176.3,52.237,84.472,4.003,3.158,2.139,124.163,sand
1176.4,52.376,83.419,4.136,3.227,2.126,123.861,sand
1176.5,52.591,82.74,4.302,3.316,2.113,123.925,sand
1176.6,52.915,82.616,4.487,3.413,2.103,124.417,sand
1176.7,53.329,83.02,4.669,3.503,2.094,125.237,sand
1176.8,53.778,83.633,4.822,3.57,2.087,126.123,sand
1176.9,54.208,84.111,4.923,3.606,2.083,126.806,sand
1177,54.588,84.245,4.967,3.612,2.079,127.154,sand
1177.1,54.917,84.004,4.969,3.602,2.078,127.208,sand
1177.2,55.21,83.569,4.952,3.588,2.08,127.122,sand
1177.3,55.473,83.238,4.936,3.58,2.083,126.944,sand
1177.4,55.699,83.311,4.929,3.576,2.086,126.734,sand
1177.5,55.869,83.921,4.925,3.571,2.091,126.587,sand
1177.6,55.962,84.877,4.913,3.555,2.094,126.723,sand
1177.7,55.966,85.758,4.879,3.523,2.098,126.839,sand
1177.8,55.88,86.127,4.815,3.471,2.1,126.428,sand
1177.9,55.71,85.807,4.72,3.402,2.099,125.593,sand
1178,55.458,84.893,4.598,3.317,2.097,124.891,sand
1178.1,55.116,83.717,4.45,3.219,2.097,124.862,sand
1178.2,54.674,82.702,4.268,3.103,2.098,125.305,sand
1178.3,54.128,82.014,4.031,2.955,2.102,125.673,sand
1178.4,53.47,81.631,3.717,2.76,2.107,125.633,sand
1178.5,52.693,81.499,3.338,2.519,2.11,125.448,sand
1178.6,51.793,81.686,2.942,2.258,2.111,125.253,sand
1178.7,50.775,82.368,2.584,2.017,2.122,124.708,sand
1178.8,49.641,83.626,2.3,1.824,2.134,123.577,sand
1178.9,48.4,85.376,2.102,1.69,2.14,121.996,sand
1179,47.066,87.459,1.989,1.615,2.133,120.576,sand
1179.1,45.655,89.654,1.951,1.595,2.118,119.721,sand
1179.2,44.186,91.666,1.978,1.622,2.104,119.076,sand
1179.3,42.682,93.21,2.053,1.684,2.097,118.319,sand
1179.4,41.166,94.087,2.149,1.763,2.102,118.141,shale
1179.5,39.675,94.169,2.236,1.836,2.12,119.303,shale
1179.6,38.245,93.443,2.286,1.882,2.149,121.414,shale
1179.7,36.907,92.111,2.287,1.892,2.184,123.081,shale
1179.8,35.681,90.518,2.253,1.869,2.218,123.564,shale
1179.9,34.581,89.047,2.206,1.831,2.246,123.759,shale
1180,33.606,87.957,2.17,1.796,2.265,124.523,shale
1180.1,32.743,87.281,2.152,1.773,2.276,125.074,shale
1180.2,31.967,86.979,2.154,1.765,2.282,124.028,shale
1180.3,31.264,87.026,2.17,1.769,2.283,121.541,shale
1180.4,30.627,87.415,2.194,1.781,2.28,119.225,shale
1180.5,30.063,88.068,2.216,1.794,2.273,118.338,shale
1180.6,29.576,88.816,2.226,1.8,2.264,118.743,shale
1180.7,29.168,89.52,2.219,1.792,2.255,119.685,shale
1180.8,28.827,90.11,2.193,1.771,2.25,121.088,shale
1180.9,28.541,90.5,2.154,1.738,2.25,123.462,shale
1181,28.314,90.618,2.112,1.704,2.255,126.461,shale
1181.1,28.176,90.49,2.08,1.674,2.262,128.529,shale
1181.2,28.179,90.258,2.066,1.658,2.267,128.283,shale
1181.3,28.367,90.06,2.074,1.657,2.268,125.653,shale
1181.4,28.762,89.98,2.104,1.672,2.264,121.906,shale
